timestamp,model,symbol,date,action,quantity,price,value,portfolio_value,current_position,cash_remaining,status
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-12,SELL,1,111.58531188964844,111.58531188964844,100000.0,-1,100111.58531188965,warmup
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-13,BUY,2,119.48640441894531,238.97280883789062,99992.0989074707,1,99872.61250305176,warmup
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-16,SELL,2,113.11568450927734,226.2313690185547,99985.72818756104,-1,100098.84387207031,test
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-17,BUY,2,121.53286743164062,243.06573486328125,99977.31100463867,1,99855.77813720703,test
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-18,HOLD,0,120.08255767822266,0.0,99975.86069488525,1,99855.77813720703,test
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-19,HOLD,0,113.04450988769531,0.0,99968.82264709473,1,99855.77813720703,test
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-23,SELL,2,98.88835144042969,197.77670288085938,99954.66648864746,-1,100053.55484008789,test
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-24,HOLD,0,106.04206085205078,0.0,99947.51277923584,-1,100053.55484008789,test
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-25,HOLD,0,106.23782348632812,0.0,99947.31701660156,-1,100053.55484008789,test
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-26,HOLD,0,112.61741638183594,0.0,99940.93742370605,-1,100053.55484008789,test
250809_185213,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-27,BUY,1,109.58334350585938,109.58334350585938,99943.97149658203,0,99943.97149658203,test
