date,symbol,price,action,confidence,position,portfolio_value,daily_return
2020-07-01,JNJ,125.77092742919922,HOLD,0.85,0,10000.0,0
2020-07-02,JNJ,126.29952239990234,BUY,0.85,79.17686314234021,10000.0,0.0
2020-07-06,JNJ,128.10032653808594,HOLD,0.75,79.17686314234021,10142.582022795123,0.014258202279512355
2020-07-07,JNJ,127.98387145996094,BUY,0.85,79.17686314234021,10133.361475012189,-0.0009090927499734169
2020-07-08,JNJ,128.36013793945312,HOLD,0.75,79.17686314234021,10163.153074563992,0.002939952317428496
2020-07-09,JNJ,127.66132354736328,BUY,0.85,79.17686314234021,10107.823143079597,-0.005444169843596414
2020-07-10,JNJ,127.55378723144531,HOLD,0.85,79.17686314234021,10099.308754911328,-0.0008423562667989604
2020-07-13,JNJ,130.09828186035156,HOLD,0.75,79.17686314234021,10300.773857910657,0.019948405171923866
2020-07-14,JNJ,132.52621459960938,HOLD,0.85,79.17686314234021,10493.009956125681,0.01866229672321107
2020-07-15,JNJ,132.8308563232422,HOLD,0,79.17686314234021,10517.130532185203,0.002298728025645458
2020-07-16,JNJ,133.71783447265625,HOLD,0.85,79.17686314234021,10587.358679731606,0.006677500800383207
2020-07-17,JNJ,133.8074188232422,HOLD,0.75,79.17686314234021,10594.451687597644,0.0006699506534728616
2020-07-20,JNJ,134.0314178466797,BUY,0.85,79.17686314234021,10612.187227620372,0.001674040388847109
2020-07-21,JNJ,134.15682983398438,HOLD,0,79.17686314234021,10622.116955375604,0.0009356909694722138
2020-07-22,JNJ,134.3987274169922,HOLD,0.85,79.17686314234021,10641.269647199877,0.001803095550984235
2020-07-23,JNJ,134.04037475585938,HOLD,0.75,79.17686314234021,10612.89640759267,-0.002666339689519348
2020-07-24,JNJ,132.70542907714844,BUY,0.85,79.17686314234021,10507.199596286917,-0.009959280411908633
2020-07-27,JNJ,131.86326599121094,BUY,0.85,79.17686314234021,10440.519764888113,-0.006346108759784808
2020-07-28,JNJ,131.54969787597656,HOLD,0.85,79.17686314234021,10415.692425142399,-0.002377979286932619
2020-07-29,JNJ,131.2898406982422,HOLD,0.75,79.17686314234021,10395.117748944369,-0.001975353664281143
2020-07-30,JNJ,131.55860900878906,BUY,0.85,79.17686314234021,10416.397980685537,0.0020471371517969406
2020-07-31,JNJ,130.59100341796875,HOLD,0.85,79.17686314234021,10339.786005245394,-0.007354939354486945
2020-08-03,JNJ,132.01556396484375,BUY,0.85,79.17686314234021,10452.578240703293,0.010908565747944854
2020-08-04,JNJ,131.89910888671875,BUY,0.85,79.17686314234021,10443.35769292036,-0.0008821314292609683
2020-08-05,JNJ,132.95626831054688,HOLD,0.8,79.17686314234021,10527.060259940434,0.008014909522520375
2020-08-06,JNJ,132.19473266601562,BUY,0.85,79.17686314234021,10466.76425643537,-0.005727715242071274
2020-08-07,JNJ,133.135498046875,HOLD,0.85,79.17686314234021,10541.251108244724,0.007116511844962536
2020-08-10,JNJ,132.624755859375,HOLD,0.75,79.17686314234021,10500.812143964018,-0.0038362585110107705
2020-08-11,JNJ,131.6751251220703,HOLD,0.85,79.17686314234021,10425.623361040683,-0.00716028264219104
2020-08-12,JNJ,134.08517456054688,BUY,0.85,79.17686314234021,10616.443515597217,0.01830299713968242
2020-08-13,JNJ,132.59791564941406,HOLD,0.75,79.17686314234021,10498.68702033323,-0.01109189674404476
