timestamp,model,symbol,date,action,direction,position_description,asset_price,theoretical_portfolio_value,cumulative_return_pct,daily_log_return,status
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-12,SELL,-1,Short Position (100%),111.58531188964844,100000.0,0.0,0.0,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-13,BUY,1,Long Position (100%),119.48640441894531,93387.45477552916,-6.6125452244708445,-0.06841316695314313,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-16,SELL,-1,Short Position (100%),113.11568450927734,88408.26638715257,-11.591733612847433,-0.054791542596362756,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-17,BUY,1,Long Position (100%),121.53286743164062,82285.24332552483,-17.71475667447516,-0.07177368828891137,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-18,BUY,1,Long Position (100%),120.08255767822266,81303.29421595985,-18.69670578404016,-0.012005253155293685,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-19,BUY,1,Long Position (100%),113.04450988769531,76538.10199085284,-23.461898009147163,-0.06039785291530611,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-20,BUY,1,Long Position (100%),106.6738052368164,72224.74221064785,-27.775257789352146,-0.05800600498689607,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-23,SELL,-1,Short Position (100%),98.88835144042969,66953.51004461959,-33.04648995538041,-0.0757841784783612,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-24,SELL,-1,Short Position (100%),106.04206085205078,62436.75555023539,-37.56324444976461,-0.06984436539547888,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-25,SELL,-1,Short Position (100%),106.23782348632812,62321.70440045522,-37.678295599544775,-0.0018443828569256323,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-26,BUY,1,Long Position (100%),112.61741638183594,58791.28152801922,-41.208718471980774,-0.05831617978341497,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-27,SELL,-1,Short Position (100%),109.58334350585938,57207.36104432363,-42.79263895567637,-0.027310990885962203,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-30,BUY,1,Long Position (100%),118.34751892089844,52970.89413909822,-47.02910586090178,-0.07693998417426848,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-03-31,BUY,1,Long Position (100%),116.67475128173828,52222.18391398158,-47.77781608601842,-0.01423521171220576,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-01,SELL,-1,Short Position (100%),114.61048889160156,51298.24545257336,-48.70175454742663,-0.017850833917951572,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-02,SELL,-1,Short Position (100%),118.4720687866211,49626.18658402929,-50.373813415970716,-0.033137900152933976,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-03,SELL,-1,Short Position (100%),119.37960815429688,49248.921834304034,-50.75107816569597,-0.007631174045462331,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-06,BUY,1,Long Position (100%),124.35340118408203,47279.1008096158,-52.72089919038421,-0.040819121181363875,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-07,SELL,-1,Short Position (100%),122.32474517822266,46507.80681286314,-53.49219318713686,-0.016448167557557392,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-08,BUY,1,Long Position (100%),127.46759033203125,44631.3890641729,-55.3686109358271,-0.0411827847922697,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-09,BUY,1,Long Position (100%),125.66139221191406,43998.96845579751,-56.00103154420248,-0.014271212701000435,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-13,SELL,-1,Short Position (100%),124.3623046875,43544.10710178973,-56.455892898210266,-0.010391808705932787,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-14,SELL,-1,Short Position (100%),129.93223571777344,41677.45967598366,-58.32254032401634,-0.04381393343634379,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-15,SELL,-1,Short Position (100%),131.38255310058594,41217.38683668307,-58.782613163316924,-0.01110026938158912,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-16,SELL,-1,Short Position (100%),133.17098999023438,40663.852653907685,-59.33614734609232,-0.013520621297291433,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-17,BUY,1,Long Position (100%),135.2619171142578,40035.25626628199,-59.96474373371801,-0.015579084075628493,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-20,BUY,1,Long Position (100%),134.9504852294922,39943.07765768257,-60.056922342317435,-0.0023050905137017106,test
250808_235624,Qwen_Qwen2.5-7B-Instruct,JNJ,2020-04-21,SELL,-1,Short Position (100%),133.1798553466797,39419.000943234874,-60.58099905676513,-0.013207424548884097,test
