timestamp,model,symbol,date,action,quantity,price,value,portfolio_value,current_position,cash_remaining,status
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-12,SELL,1,111.58531188964844,111.58531188964844,100000.0,-1,100111.58531188965,warmup
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-13,BUY,2,119.48640441894531,238.97280883789062,99992.0989074707,1,99872.61250305176,warmup
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-16,SELL,2,113.11568450927734,226.2313690185547,99985.72818756104,-1,100098.84387207031,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-17,BUY,2,121.53286743164062,243.06573486328125,99977.31100463867,1,99855.77813720703,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-18,HOLD,0,120.08255767822266,0.0,99975.86069488525,1,99855.77813720703,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-19,HOLD,0,113.04450988769531,0.0,99968.82264709473,1,99855.77813720703,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-23,HOLD,0,98.88835144042969,0.0,99954.66648864746,1,99855.77813720703,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-24,HOLD,0,106.04206085205078,0.0,99961.82019805908,1,99855.77813720703,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-25,HOLD,0,106.23782348632812,0.0,99962.01596069336,1,99855.77813720703,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-26,HOLD,0,112.61741638183594,0.0,99968.39555358887,1,99855.77813720703,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-27,HOLD,0,109.58334350585938,0.0,99965.36148071289,1,99855.77813720703,test
250808_230347,Qwen_Qwen3-8B,JNJ,2020-03-30,HOLD,0,118.34751892089844,0.0,99974.12565612793,1,99855.77813720703,test
