timestamp,model,symbol,date,position,position_desc,position_name,asset_price,theoretical_portfolio_value,daily_log_return,cumulative_return_pct,status
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-12,-1,SHORT,Short Position,111.58531188964844,100000.0,0.0,0.0,warmup
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-13,1,LONG,Long Position,119.48640441894531,93387.45477552916,-6.841316695314313,-6.6125452244708445,warmup
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-16,-1,SHORT,Short Position,113.11568450927734,88408.26638715257,-5.4791542596362754,-11.591733612847433,warmup
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-17,1,LONG,Long Position,121.53286743164062,82285.24332552483,-7.177368828891137,-17.71475667447516,warmup
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-18,1,LONG,Long Position,120.08255767822266,81303.29421595985,-1.2005253155293685,-18.69670578404016,warmup
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-19,1,LONG,Long Position,113.04450988769531,76538.10199085284,-6.039785291530611,-23.461898009147163,warmup
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-23,1,LONG,Long Position,98.88835144042969,66953.51004461959,-13.37901834652572,-33.04648995538041,test
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-24,1,LONG,Long Position,106.04206085205078,71797.01231733966,6.984436539547888,-28.202987682660343,test
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-25,1,LONG,Long Position,106.23782348632812,71929.55568882407,0.18443828569256324,-28.070444311175933,test
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-26,1,LONG,Long Position,112.61741638183594,76248.93335857187,5.831617978341496,-23.75106664142813,test
250810_003555,Qwen_Qwen3-8B,JNJ,2020-03-27,1,LONG,Long Position,109.58334350585938,74194.67898160232,-2.7310990885962205,-25.805321018397677,test
